"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
151847,"SAMSUNG ELECTRONICS","UA75CU8000*","Vietnam",189.338,"LCD (LED)",165,"Available",5,74.5423706,"75.0"
151847,"SAMSUNG ELECTRONICS","UA75CU8500S","Vietnam",189.338,"LCD (LED)",165,"Available",5,74.5423706,"75.0"
151848,"SAMSUNG ELECTRONICS","QA85Q70CAW","Vietnam",214.783,"LCD (LED)",216,"Available",4.5,84.5600671,"85.0"
151848,"SAMSUNG ELECTRONICS","QA85Q70CAS","Vietnam",214.783,"LCD (LED)",216,"Available",4.5,84.5600671,"85.0"
151848,"SAMSUNG ELECTRONICS","QA85Q70CA*","Vietnam",214.783,"LCD (LED)",216,"Available",4.5,84.5600671,"85.0"
151853,"SAMSUNG ELECTRONICS","QA65Q80CAW","Vietnam",163.897,"LCD (LED)",153,"Available",4,64.5262489,"65.0"
151853,"SAMSUNG ELECTRONICS","QA65Q80CAS","Vietnam",163.897,"LCD (LED)",153,"Available",4,64.5262489,"65.0"
151853,"SAMSUNG ELECTRONICS","QA65Q80CA*","Vietnam",163.897,"LCD (LED)",153,"Available",4,64.5262489,"65.0"
151854,"SAMSUNG ELECTRONICS","QA75Q80CAW","Vietnam",189.338,"LCD (LED)",203,"Available",4,74.5423706,"75.0"
151854,"SAMSUNG ELECTRONICS","QA75Q80CAS","Vietnam",189.338,"LCD (LED)",203,"Available",4,74.5423706,"75.0"
151854,"SAMSUNG ELECTRONICS","QA75Q80CA*","Vietnam",189.338,"LCD (LED)",203,"Available",4,74.5423706,"75.0"
151855,"SAMSUNG ELECTRONICS","QA85Q80CAW","Vietnam",214.783,"LCD (LED)",259,"Available",4,84.5600671,"85.0"
151855,"SAMSUNG ELECTRONICS","QA85Q80CAS","Vietnam",214.783,"LCD (LED)",259,"Available",4,84.5600671,"85.0"
151855,"SAMSUNG ELECTRONICS","QA85Q80CA*","Vietnam",214.783,"LCD (LED)",259,"Available",4,84.5600671,"85.0"
151856,"SAMSUNG ELECTRONICS","QA55Q70CAW","Vietnam",138.783,"LCD (LED)",114,"Available",4,54.63886709999999,"55.0"
151856,"SAMSUNG ELECTRONICS","QA55Q70CAS","Vietnam",138.783,"LCD (LED)",114,"Available",4,54.63886709999999,"55.0"
151856,"SAMSUNG ELECTRONICS","QA55Q70CA*","Vietnam",138.783,"LCD (LED)",114,"Available",4,54.63886709999999,"55.0"
151857,"SAMSUNG ELECTRONICS","QA65Q70CAW","Vietnam",163.897,"LCD (LED)",145,"Available",4,64.5262489,"65.0"
151857,"SAMSUNG ELECTRONICS","QA65Q70CAS","Vietnam",163.897,"LCD (LED)",145,"Available",4,64.5262489,"65.0"
151857,"SAMSUNG ELECTRONICS","QA65Q70CA*","Vietnam",163.897,"LCD (LED)",145,"Available",4,64.5262489,"65.0"
151861,"SAMSUNG ELECTRONICS","QA75QN900CW","Vietnam",189.338,"LCD (LED)",340,"Available",1.5,74.5423706,"75.0"
151861,"SAMSUNG ELECTRONICS","QA75QN900CS","Vietnam",189.338,"LCD (LED)",340,"Available",1.5,74.5423706,"75.0"
151861,"SAMSUNG ELECTRONICS","QA75QN900C*","Vietnam",189.338,"LCD (LED)",340,"Available",1.5,74.5423706,"75.0"
151862,"SAMSUNG ELECTRONICS","QA65QN700CS","Vietnam",163.897,"LCD (LED)",190,"Available",3,64.5262489,"65.0"
151864,"SAMSUNG ELECTRONICS","QA85QN900CW","Vietnam",214.783,"LCD (LED)",373,"Available",2,84.5600671,"85.0"
151864,"SAMSUNG ELECTRONICS","QA85QN900CS","Vietnam",214.783,"LCD (LED)",373,"Available",2,84.5600671,"85.0"
151864,"SAMSUNG ELECTRONICS","QA85QN900C*","Vietnam",214.783,"LCD (LED)",373,"Available",2,84.5600671,"85.0"
151881,"LG","43UR78006LL","Indonesia,South Korea",107.987,"LCD (LED)",73,"Available",4,42.5144819,"43.0"
151882,"LG","50UR78006LL","Indonesia,South Korea",125.727,"LCD (LED)",78,"Available",4.5,49.4987199,"50.0"
151883,"LG","55UR78006LL","Indonesia,South Korea",138.783,"LCD (LED)",97,"Available",4.5,54.63886709999999,"55.0"
151884,"LG","65UR78006LL","Indonesia,South Korea",163.897,"LCD (LED)",127,"Available",4.5,64.5262489,"65.0"
151886,"SAMSUNG ELECTRONICS","QA65QN95CAW","Vietnam",163.897,"LCD (LED)",155,"Available",4,64.5262489,"65.0"
151886,"SAMSUNG ELECTRONICS","QA65QN95CAS","Vietnam",163.897,"LCD (LED)",155,"Available",4,64.5262489,"65.0"
151886,"SAMSUNG ELECTRONICS","QA65QN95CA*","Vietnam",163.897,"LCD (LED)",155,"Available",4,64.5262489,"65.0"
151887,"SAMSUNG ELECTRONICS","QA50Q80CAS","Vietnam",125.736,"LCD (LED)",93,"Available",4,49.5022632,"50.0"
151888,"SAMSUNG ELECTRONICS","QA75QN700CS","Vietnam",189.338,"LCD (LED)",214,"Available",3.5,74.5423706,"75.0"
